Dominio,IP,Número de subdominios
kefferauto.com,24.142.248.74,1
gangchonbbq.com,210.127.209.64,4
happyfarmdalat.com,210.127.209.29,4
barobooking.com,210.127.211.168,4
ancrey.com,210.127.253.160,2
xn--vv4bi8f.club,210.127.253.89,2
invoice21.com,210.127.211.6,2
teaculture.kr,210.127.209.57,4
ecofnt.com,210.127.208.81,2
cleanuro.com,210.127.209.78,4
semusa.in,210.127.211.4,2
gbta.kr,210.127.209.86,6
sejongtimes.kr,210.127.209.108,8
dongsinsys.com,210.127.253.166,2
ac.kr,58.180.56.133,16
thebluewater.net,210.127.208.136,4
xn--2j1bu07anibw9v.club,210.127.253.89,3
memorycafe.net,58.180.27.53,9
daejintool.com,210.127.211.154,4
lptkor.com,210.127.208.136,10
erebon.com,210.127.244.243,2
sdg-sign.com,210.127.209.56,4
xn--sm2bt3h71c06g8nc83vyb.com,210.127.208.81,2
kplax.com,210.127.253.165,1
1800-4279.com,210.127.209.78,4
lalagiostra.com,210.127.209.78,4
fa21tv.com,210.127.253.79,2
insight-master.com,58.180.27.84,9
fine-gps.com,58.180.10.192,4
0538180080.com,210.127.209.56,4
cwwelfare.net,210.127.208.172,4
balletlin.com,58.180.27.79,3
lssenglish.com,210.127.209.99,4
4uhealing.com,210.127.208.136,14
ati-center.com,210.127.253.250,2
koreakids2020.com,58.180.27.15,3
sejonginvest.net,58.180.61.141,2
xn--sc-892j83f.com,210.127.209.56,4
koshoot.com,210.127.253.143,4
btc21c.com,58.180.27.88,3
elitecus.com,210.127.211.6,4
zenasoft.com,210.127.208.136,6
law7282.com,210.127.209.78,2
cjulsan.com,210.127.209.79,2
vectrakorea.com,210.127.209.76,2
xn--hy1bm6guyhg7fo3dqso.net,210.127.209.108,4
youaline.com,210.127.253.165,1
jyrns.com,210.127.253.182,1
nurivpn.com,58.180.117.185,4
kais99.org,210.127.209.58,6
sesang2243-1.com,210.127.208.136,12
besttrans.kr,210.127.209.76,2
kimkunchicken.com,210.127.209.86,2
com.mx,45.231.46.11,2
reborn2016.com,210.127.208.136,18
xn--hy1b45ci4bh92c.com,210.127.208.136,14
windstream.net,40.129.195.158,34
ofsystem.net,58.180.10.144,6
ereimom9240.com,210.127.209.78,4
fishing-119.kr,210.127.253.250,2
forbeauty.kr,210.127.209.64,26
haenam.com,210.127.209.12,4
waxing30.com,210.127.209.78,4
hiscom21.com,210.127.253.215,2
igp.kr,58.180.27.76,3
jungkyunggo.com,210.127.253.143,4
fcsmartsystem.com,58.180.27.76,3
glovis.mx,45.231.45.10,4
dysporex.com,210.127.208.136,2
cybereasonkorea.com,210.127.209.76,2
010-9913-3686.com,210.127.209.78,4
art29.org,210.127.209.78,4
baromarket.net,210.127.209.78,4
jwtechco.com,210.127.253.75,1
com.au,203.13.250.9,52
hsadglobal.com,58.180.115.10,6
hanilss.com,58.180.149.130,1
kjoffice.com,210.127.211.6,2
xn--pn3bl36b.club,210.127.253.89,3
seojineng.com,210.127.253.250,1
nez.kr,58.180.36.82,4
2000ch.com,210.127.210.54,4
icce-asia2020.org,210.127.209.47,2
nonnowhos.com,210.127.253.231,2
1877-9404.com,210.127.209.78,4
changgo.org,210.127.253.165,1
xn--iq4b.club,210.127.253.89,3
kefferkia.com,24.142.248.74,1
willstay.kr,210.127.209.98,4
ssanmart.com,210.127.209.57,4
1800-7117.com,210.127.209.78,4
yn-co.com,210.127.209.56,2
gimhaetskwater.com,210.127.209.76,2
bohaecon.com,210.127.253.187,1
dang119.com,58.180.27.72,3
tkrwindow.com,210.127.209.56,4
withuscustoms.com,210.127.211.6,2
riche-bio.com,210.127.208.136,14
kochart.net,210.127.253.250,1
gtog21.com,58.180.27.41,12
hostibz.com,210.127.209.56,24
xn--3h3bm5q.com,210.127.211.16,2
swt-hydraulics.com,210.127.209.76,2
dgdhele.com,210.127.209.56,4
dsbuffet.com,210.127.209.56,14
sewhacb.com,210.127.211.6,4
35samo.com,210.127.211.144,2
myhanbando.com,210.127.253.247,2
hyundai-dealers.ca,204.10.243.142,1
vzim.com,58.180.9.75,2
coreainfo.net,210.127.209.12,6
samilinc.net,210.127.209.46,2
fyforu.com,210.127.208.136,4
feelmarine.com,210.127.209.46,4
samwontech-energy.com,210.127.209.76,2
changwonbadminton.com,210.127.209.76,2
varietemall.com,210.127.253.165,1
aindus.com,58.180.27.50,3
o2ad.com,58.180.36.82,2
daeonetour.com,210.127.211.168,4
ccokko.com,210.127.209.12,4
imt-digital.com,210.127.253.250,3
xn--hz2b60w.club,210.127.253.89,2
shopang.com,58.180.36.83,8
mua2020.org,210.127.209.61,2
burritolee.com,210.127.208.136,6
icbfad.kr,210.127.208.136,4
mefi.io,58.180.36.84,8
itc-cscc2019.org,210.127.209.47,2
space1326.com,210.127.209.99,2
sangacns.com,210.127.253.76,1
myhappyi.com,58.180.27.79,3
xn--289a97e1vtzgeuqb5yi14gnrj7qdz6l.com,210.127.208.164,4
xn--9y2b385cba.net,210.127.209.79,4
ahnjunghwanfc.com,210.127.208.136,14
spmautoparts.com,58.180.177.202,1
kjcustoms.net,210.127.211.6,4
o2customs.com,210.127.211.6,4
solarmix.kr,210.127.253.76,2
nic21c.com,210.127.253.233,6
fulggot.com,210.127.253.250,1
xn--e42b74vuub.club,210.127.253.89,3
optonline.net,108.58.51.86,19
ycc.camp,210.127.208.136,14
shinwhacns.net,210.127.209.57,4
xn--2q1bo6ivwcq0oxra488d1ea.com,210.127.209.76,2
xn--hq1by4fd6duxiba905eitz8ta.com,210.127.208.136,12
us-pedien.com,210.127.209.108,2
peoplengolf.com,210.127.209.24,4
webpung.com,210.127.208.50,4
mhfz.org,210.127.208.136,12
xn--6j1b94xwteb2a9a326o.com,210.127.208.136,14
365spam.com,58.180.27.227,6
intelliconforum.org,58.180.17.49,3
pathotrend.net,58.180.231.25,1
pknuac.org,210.127.253.250,2
51jobcanada.com,204.10.243.140,1
onse-voip.com,58.180.61.141,2
samyoungacct.kr,210.127.253.143,2
yspsolar.com,210.127.209.76,2
xn--vv5bs9unlb.club,210.127.253.89,3
xn--s80b96b57hpoigjbzxocxyttc.com,210.127.209.86,4
planchise.com,58.180.36.84,4
vinnostring.com,210.127.208.136,4
xn--299aa262fnkolvco62a.com,210.127.208.136,10
dae-dong.net,210.127.210.53,2
cubead.net,210.127.253.166,2
xn--h32bq4ac9hc4e6vg.com,210.127.209.99,4
119key.com,210.127.209.78,2
mintnamoo.net,58.180.27.11,3
xn--2e0bk98amsj.com,210.127.209.64,4
derdream.com,210.127.211.145,2
airrexind.com,210.127.209.79,2
4jutour.com,210.127.253.143,4
trojancut.com,58.180.9.74,2
hanple.com,210.127.209.28,18
daelimchemi.com,210.127.208.136,10
joongshin.com,210.127.253.217,1
koitec.net,210.127.253.247,2
hcjunior.com,58.180.27.79,3
pathotrend.com,58.180.231.25,1
iend.kr,210.127.209.56,4
hyosanmetal.com,210.127.209.99,4
csbrazing.com,210.127.209.99,4
1877-8286.com,210.127.209.78,4
ddt-boas.com,210.127.253.165,2
onse.net,58.180.61.141,4
hsadfrance.com,58.180.115.10,4
tvpang.com,58.180.36.82,2
seochowomen.kr,210.127.208.60,2
1644-3822.com,210.127.209.78,4
hsadjapan.com,58.180.115.10,6
hyungoknonghyup.com,210.127.210.54,4
gnsealife.net,210.127.208.163,2
cbbumo.org,210.127.208.136,14
metacoin.trade,58.180.36.83,2
xn--o79a109bnhbca010js0c.com,210.127.208.81,2
scenariotherapy.com,210.127.209.78,4
xn--299aw0w0ifoshs8f.com,210.127.209.78,2
hionplus.com,210.127.253.76,1
booknart.com,58.180.27.79,18
hsadtaiwan.com,58.180.115.10,6
allplaces.kr,210.127.209.87,6
orangefood.net,210.127.211.149,2
dokkaebi.one,58.180.36.82,2
baromeat.com,58.180.36.84,2
osungdnc.com,210.127.209.99,4
gpjjang.com,210.118.177.78,1
shinwoofoto.com,58.180.27.11,3
doosanabs.com,210.127.209.57,4
foodpshop.com,210.127.209.57,6
apex-brk.com,210.127.253.167,1
suhosin.net,58.180.27.53,9
shinbiro.com,58.180.68.88,2
kelly3h.com,210.127.209.71,2
xn--9m1bv2f39lnmeqpa.com,210.127.208.136,4
airdrop.camp,58.180.36.75,4
icce-asia2021.org,210.127.209.61,2
xn--hz2b1b538cwmce0g.com,210.127.208.136,4
designon.kr,210.127.253.75,6
hanbitbest.com,210.127.209.76,2
healthkhan.com,210.127.253.166,3
lgadbrasil.com,58.180.115.10,4
edu2080.com,58.180.56.84,2
maccube.kr,210.127.209.55,2
webbee.kr,210.127.209.97,2
webmade-bu.com,210.127.208.136,4
bbadminton.org,210.127.209.46,6
hym.kr,210.127.253.75,3
ewhamusicflow.com,58.180.27.79,3
princetour.kr,58.180.27.9,6
sbcglobal.net,76.230.181.191,7
chk777.com,210.127.209.56,4
xn--vk1bq81c.club,210.127.253.89,3
swcus.com,210.127.211.6,2
nuovoklavier.com,210.127.208.136,4
gangjin.net,210.127.209.12,2
youduk.com,210.127.253.250,2
call-save.biz,58.180.17.54,3
knuholdings.com,210.127.208.136,10
72golf.kr,210.127.211.168,2
plusfactorygroup.com,210.127.208.136,14
allthemedi.com,210.127.209.86,16
ilovekodomofuku-oroshi.com,58.180.27.15,6
xn--2q1br6ovqhdeo0di1q4vbq55a.com,210.127.210.54,4
raontlc.com,210.127.211.6,2
haesuworld.com,210.127.208.136,14
xn--289a97en5beza904ehb179pkd.com,210.127.211.6,2
suanmaeul.com,210.127.208.136,4
xn--jk1bl1koc71l0xj37gf5a.com,210.127.208.136,14
gt1275.com,210.127.209.78,2
st-tech.kr,210.127.253.204,2
xn--o39as7hbvde0vca453vqja.com,210.127.209.78,4
oksimida.com,58.180.27.15,3
jelimeng.com,210.127.208.136,12
sun6272.com,210.127.208.136,14
chunjigebyuk.com,210.127.209.46,6
moreleap.com,58.180.27.46,12
gaborago.com,58.180.36.84,6
sechangmc.com,210.127.209.56,4
dbsoftbank.com,210.127.253.209,3
cityagro.net,210.127.253.165,1
elalala.com,58.180.27.15,3
hsadbrazil.com,58.180.115.10,6
haewoo.kr,210.127.209.110,4
cmaruw.com,210.127.209.76,2
cavtel.net,76.160.51.147,8
hsadindonesia.com,58.180.115.10,4
ynfnh.com,210.127.210.54,8
xn--vk1br5hc13a.club,210.127.253.89,3
eb2004.com,210.127.211.6,2
yuzapension.kr,210.127.253.108,2
withbit.com,58.180.36.87,10
daejong.net,210.127.209.56,6
kowildlife.com,210.127.253.143,3
hohone.com,210.127.253.76,3
xn--hp4bo76a.club,210.127.253.89,3
sinilshop.com,210.127.209.56,4
taekyong.net,210.127.211.154,4
ksles.org,210.127.209.51,4
samcheongtrain.com,210.127.209.78,4
kfhr.org,210.127.253.166,3
moyamoy.com,210.127.253.250,1
tae-baek.com,210.127.209.56,4
xn--2e0b75d9tuetenzcwrd.com,210.127.209.57,4
drrefer.net,210.127.208.138,4
herbmall.kr,210.127.244.236,2
xn--xc7bk6j.club,210.127.253.89,3
vpnip.kr,58.180.85.42,2
keyplan.kr,210.127.208.136,18
xn--365-ym7la65kc2ac07md8b.com,210.127.208.136,12
gumibeauty.net,210.127.209.86,4
xn--bj5b09b8lwupf833br7eixd.com,210.127.208.136,4
gjuri.com,210.127.209.12,4
sooquilt.com,210.127.253.160,2
hellochouette.com,58.180.27.79,3
capris.net,204.10.243.133,4
sejonginvestment.com,58.180.61.141,2
utime.kr,58.180.17.46,3
andover.kr,210.127.209.37,4
ulsansilver.org,210.127.208.52,2
seyanglts.com,210.127.209.76,2
elchild.com,58.180.27.79,6
tds.net,184.60.84.194,7
xn--299a59i0we5ylpjfhpbc6bk90bl3l.com,210.127.209.56,4
agw.kr,210.127.209.76,2
clsenglish.net,58.180.27.79,15
cgocable.net,72.38.89.39,15
1000rian.com,210.127.209.86,4
1800-2663.com,210.127.209.78,4
hyundaiperformance.ca,204.10.243.138,1
dongtan.com,58.180.36.84,32
windtreeeng.com,210.127.208.136,12
bpsbmw.com,210.127.209.46,2
simaxworld.com,210.127.253.165,2
xn--299ap84c.club,210.127.253.89,3
365managed.com,58.180.27.195,12
ofs.kr,58.180.10.144,6
mtsaca.com,210.127.209.71,2
greatplace.kr,210.127.209.86,2
chilgokhyanggyo.org,210.127.209.56,4
anccj.com,210.127.211.6,2
allofthat.kr,210.127.209.98,4
xn--bb0b35v12go7p74d.kr,210.127.211.168,2
xn--yq5bk1xde.com,210.127.208.136,2
develop-rfid.com,210.127.253.209,2
ssg.best,210.127.253.89,3
balletw.com,58.180.27.79,3
xn--hq1br6z.com,210.127.209.79,2
changkeo.com,210.127.211.6,2
3004love.com,210.127.208.136,16
fginside.com,58.180.36.81,14
psg.kr,210.127.211.44,4
blueinblue.net,210.127.208.50,4
arcnb.com,210.127.211.149,2
myungjun.com,210.127.253.250,3
gimf.kr,210.127.253.167,2
wepang.com,58.180.36.82,2
hanokdb.kr,210.127.209.47,2
bgogooma.com,210.127.209.99,2
hbbrain.com,210.127.211.105,2
dowootec.com,210.127.209.76,2
hompiz.com,58.180.27.80,3
neoic.com,58.180.58.13,4
stwon.com,210.127.208.136,16
oil-ad.com,210.127.209.46,4
ncomasp.com,210.127.211.6,2
newkoreabnl.com,210.127.208.136,2
xn--c20b795a.club,210.127.253.89,4
sunildyfas.com,58.180.177.202,6
adpang.com,58.180.36.82,2
daesongcustoms.com,210.127.211.6,2
haeduk-1.company,210.127.211.6,4
zestcue.com,210.127.253.217,1
xn--or3bi2d.club,210.127.253.89,3
dsdecal.com,210.127.253.167,2
xn--9g3b2j471c.club,210.127.253.89,2
aprilis.asia,58.180.27.9,3
snwelfare.net,210.127.208.52,2
gimhaegosi.com,210.127.209.76,2
yongma.net,210.127.253.250,2
xn--jk1b48otpjina0d71d.com,210.127.209.86,4
huso24.com,210.127.253.70,1
eroomlove.com,210.127.208.136,6
inyoulaw.com,210.127.208.136,4
xn--2q1bm7fg5ad6d53w48aw67bceeeub.com,210.127.208.136,12
xn--jt2by0otneuwq.com,210.127.208.136,14
tazagy.com,210.127.253.209,2
callnweb.com,210.127.209.48,2
kosem.kr,210.127.210.230,2
busantaekwondo.org,210.127.209.86,4
jusungtech.com,210.127.209.76,2
yiyishijie.com,58.180.27.15,3
ncday.com,58.180.27.43,3
o2logis.com,210.127.211.6,4
xn--2e0boof3jiqff6hfn2axyk.com,210.127.208.136,16
danby55.com,210.127.253.79,1
ansanho.com,210.127.209.39,4
golfersman.com,210.127.211.168,2
dainawning.com,210.127.209.56,12
ttp.org,210.127.208.136,4
ice-apple.kr,210.127.209.57,4
themove.ca,204.10.243.140,1
philjatour.com,210.127.209.46,4
xn--hq1bm8jm9l.club,210.127.253.89,4
xn--3i0bl86b.club,210.127.253.89,2
